vendor,memo,amount_cents,account
Mercury Bank,invoice B-3857,4980576,6510 Bank Fees
AWS,annual renewal,1007047,6400 Cloud Infrastructure
Gusto Payroll,,4723248,6000 Payroll
Amplitude,annual renewal,4668690,6300 Software Subscriptions
Datadog,annual renewal,3657063,6410 Monitoring & Tooling
Datadog,services B-7966,4337847,6410 Monitoring & Tooling
Mercury Bank,auto-pay,1620923,6510 Bank Fees
Brex,,1731381,6510 Bank Fees
DocuSign,invoice B-8305,2239312,6300 Software Subscriptions
GitHub,,209497,6410 Monitoring & Tooling
AWS,annual renewal,5189371,6400 Cloud Infrastructure
Atlassian,monthly subscription,5901109,6300 Software Subscriptions
Linear,annual renewal,5518098,6300 Software Subscriptions
Mercury Bank,annual renewal,1632442,6510 Bank Fees
WeWork,auto-pay,5355121,6200 Rent & Facilities
Zoom Video,,1179853,6300 Software Subscriptions
Amplitude,usage charges,1491513,6300 Software Subscriptions
Mercury Bank,usage charges,907140,6510 Bank Fees
Rippling,usage charges,1393591,6000 Payroll
Notion Labs,auto-pay,1729357,6300 Software Subscriptions
Google Cloud,annual renewal,2743968,6400 Cloud Infrastructure
Rippling,auto-pay,958796,6000 Payroll
Linear,auto-pay,1335014,6300 Software Subscriptions
Notion Labs,auto-pay,1341502,6300 Software Subscriptions
Datadog,monthly subscription,2797999,6410 Monitoring & Tooling
Twilio,monthly subscription,2926843,6420 Communications
GitHub,,300347,6410 Monitoring & Tooling
Atlassian,services B-8388,4843742,6300 Software Subscriptions
Twilio,services B-9082,4207581,6420 Communications
Mercury Bank,,5894803,6510 Bank Fees
Zoom Video,usage charges,2996207,6300 Software Subscriptions
WeWork,services B-5454,2525981,6200 Rent & Facilities
Stripe Billing,auto-pay,3799551,6500 Payment Processing Fees
Deel Inc,monthly subscription,1314814,6000 Payroll
Zoom Video,usage charges,502175,6300 Software Subscriptions
Amplitude,usage charges,1095427,6300 Software Subscriptions
Stripe Billing,invoice B-7181,1881890,6500 Payment Processing Fees
Zoom Video,monthly subscription,2912298,6300 Software Subscriptions
Stripe Billing,invoice B-9077,4920331,6500 Payment Processing Fees
Segment,,5116757,6300 Software Subscriptions
Gusto Payroll,annual renewal,1456151,6000 Payroll
Segment,invoice B-6301,2264556,6300 Software Subscriptions
Twilio,auto-pay,1643764,6420 Communications
DocuSign,services B-2322,2373937,6300 Software Subscriptions
Notion Labs,auto-pay,1204026,6300 Software Subscriptions
Atlassian,,1416956,6300 Software Subscriptions
Linear,monthly subscription,5781690,6300 Software Subscriptions
Zoom Video,monthly subscription,2400451,6300 Software Subscriptions
Linear,,5206480,6300 Software Subscriptions
WeWork,usage charges,50961,6200 Rent & Facilities
GitHub,services B-8271,5973358,6410 Monitoring & Tooling
Figma,services B-5503,49642,6300 Software Subscriptions
Zoom Video,,385838,6300 Software Subscriptions
Notion Labs,invoice B-2862,299206,6300 Software Subscriptions
Twilio,auto-pay,1754494,6420 Communications
Google Cloud,auto-pay,2682205,6400 Cloud Infrastructure
Figma,usage charges,569807,6300 Software Subscriptions
Rippling,invoice B-6402,3517759,6000 Payroll
Google Cloud,invoice B-8571,2070160,6400 Cloud Infrastructure
Gusto Payroll,annual renewal,2164142,6000 Payroll
AWS,annual renewal,202679,6400 Cloud Infrastructure
Deel Inc,invoice B-1025,3887633,6000 Payroll
Deel Inc,services B-7030,3222363,6000 Payroll
WeWork,monthly subscription,3588257,6200 Rent & Facilities
LaunchDarkly,annual renewal,129432,6300 Software Subscriptions
Gusto Payroll,usage charges,96724,6000 Payroll
Notion Labs,monthly subscription,1290817,6300 Software Subscriptions
Gusto Payroll,auto-pay,4310879,6000 Payroll
Twilio,monthly subscription,3873023,6420 Communications
Brex,usage charges,5780320,6510 Bank Fees
Google Cloud,auto-pay,2761893,6400 Cloud Infrastructure
Zoom Video,annual renewal,2723183,6300 Software Subscriptions
Google Cloud,,3359420,6400 Cloud Infrastructure
Airtable,,1890995,6300 Software Subscriptions
Linear,invoice B-5603,4773006,6300 Software Subscriptions
OpenPhone,auto-pay,5514808,6420 Communications
LaunchDarkly,usage charges,3377192,6300 Software Subscriptions
Segment,,2797471,6300 Software Subscriptions
Figma,,5505525,6300 Software Subscriptions
Airtable,usage charges,5455126,6300 Software Subscriptions
Segment,monthly subscription,2438875,6300 Software Subscriptions
WeWork,services B-4202,4224485,6200 Rent & Facilities
Google Cloud,services B-3806,2502645,6400 Cloud Infrastructure
LaunchDarkly,annual renewal,4207230,6300 Software Subscriptions
Amplitude,usage charges,1851414,6300 Software Subscriptions
Segment,invoice B-3301,4458900,6300 Software Subscriptions
Deel Inc,,5717928,6000 Payroll
DocuSign,auto-pay,2400451,6300 Software Subscriptions
Atlassian,invoice B-3286,2081802,6300 Software Subscriptions
AWS,invoice B-6605,657201,6400 Cloud Infrastructure
Linear,invoice B-1562,5486088,6300 Software Subscriptions
Retool,services B-7508,2437929,6300 Software Subscriptions
Airtable,,3300412,6300 Software Subscriptions
Snowflake,,3868505,6400 Cloud Infrastructure
Gusto Payroll,monthly subscription,4166944,6000 Payroll
Google Cloud,monthly subscription,1222336,6400 Cloud Infrastructure
Twilio,auto-pay,5315312,6420 Communications
Retool,,4378239,6300 Software Subscriptions
Linear,services B-3943,3480647,6300 Software Subscriptions
Stripe Billing,annual renewal,3109576,6500 Payment Processing Fees
Twilio,,2472192,6420 Communications
Brex,monthly subscription,4307257,6510 Bank Fees
Mercury Bank,usage charges,4509895,6510 Bank Fees
Rippling,invoice B-4142,657714,6000 Payroll
Google Cloud,annual renewal,4456312,6400 Cloud Infrastructure
GitHub,services B-4529,132309,6410 Monitoring & Tooling
Atlassian,invoice B-3755,4643577,6300 Software Subscriptions
Snowflake,annual renewal,4548094,6400 Cloud Infrastructure
Stripe Billing,monthly subscription,5673878,6500 Payment Processing Fees
Deel Inc,annual renewal,3442315,6000 Payroll
Google Cloud,invoice B-1461,1756983,6400 Cloud Infrastructure
Gusto Payroll,services B-2107,2724241,6000 Payroll
Segment,usage charges,2181146,6300 Software Subscriptions
Zoom Video,,5346289,6300 Software Subscriptions
Stripe Billing,monthly subscription,5462783,6500 Payment Processing Fees
Notion Labs,invoice B-3463,2309900,6300 Software Subscriptions
Twilio,annual renewal,4333934,6420 Communications
Airtable,annual renewal,3037457,6300 Software Subscriptions
Gusto Payroll,auto-pay,2136246,6000 Payroll
Mercury Bank,,2491299,6510 Bank Fees
Airtable,services B-8559,4229346,6300 Software Subscriptions
GitHub,monthly subscription,2692018,6410 Monitoring & Tooling
Deel Inc,annual renewal,3625295,6000 Payroll
Stripe Billing,usage charges,2571432,6500 Payment Processing Fees
Gusto Payroll,annual renewal,1148944,6000 Payroll
Datadog,services B-9476,3216857,6410 Monitoring & Tooling
DocuSign,annual renewal,3924756,6300 Software Subscriptions
OpenPhone,,1450689,6420 Communications
Deel Inc,invoice B-6667,4005153,6000 Payroll
Gusto Payroll,services B-9683,3080378,6000 Payroll
Mercury Bank,,4525534,6510 Bank Fees
Segment,usage charges,1985639,6300 Software Subscriptions
OpenPhone,auto-pay,3962948,6420 Communications
Gusto Payroll,,3713655,6000 Payroll
DocuSign,auto-pay,5095744,6300 Software Subscriptions
Snowflake,invoice B-9258,5581481,6400 Cloud Infrastructure
Amplitude,services B-1141,2764915,6300 Software Subscriptions
Datadog,monthly subscription,373611,6410 Monitoring & Tooling
Snowflake,,3648691,6400 Cloud Infrastructure
Retool,annual renewal,4492090,6300 Software Subscriptions
Notion Labs,,1088369,6300 Software Subscriptions
Google Cloud,usage charges,2651134,6400 Cloud Infrastructure
OpenPhone,annual renewal,4478466,6420 Communications
Notion Labs,monthly subscription,2512976,6300 Software Subscriptions
Stripe Billing,monthly subscription,456289,6500 Payment Processing Fees
OpenPhone,usage charges,5598592,6420 Communications
Rippling,invoice B-7080,2161598,6000 Payroll
OpenPhone,monthly subscription,5814150,6420 Communications
Gusto Payroll,usage charges,5846787,6000 Payroll
OpenPhone,,5126405,6420 Communications
Stripe Billing,auto-pay,4344413,6500 Payment Processing Fees
Retool,invoice B-6356,4450858,6300 Software Subscriptions
GitHub,auto-pay,1734082,6410 Monitoring & Tooling
WeWork,services B-4605,2388863,6200 Rent & Facilities
Gusto Payroll,monthly subscription,893709,6000 Payroll
Retool,usage charges,204547,6300 Software Subscriptions
Datadog,invoice B-3760,4560722,6410 Monitoring & Tooling
OpenPhone,services B-8038,1321509,6420 Communications
Linear,monthly subscription,1244197,6300 Software Subscriptions
Retool,,247506,6300 Software Subscriptions
DocuSign,annual renewal,2189503,6300 Software Subscriptions
Snowflake,usage charges,308466,6400 Cloud Infrastructure
Amplitude,monthly subscription,5458828,6300 Software Subscriptions
Mercury Bank,auto-pay,1762996,6510 Bank Fees
LaunchDarkly,usage charges,2950781,6300 Software Subscriptions
Brex,annual renewal,3343638,6510 Bank Fees
Datadog,invoice B-6635,2941409,6410 Monitoring & Tooling
Gusto Payroll,,2770345,6000 Payroll
Linear,usage charges,4686704,6300 Software Subscriptions
Snowflake,,5582306,6400 Cloud Infrastructure
Airtable,auto-pay,2419592,6300 Software Subscriptions
LaunchDarkly,monthly subscription,820057,6300 Software Subscriptions
LaunchDarkly,services B-7036,5716190,6300 Software Subscriptions
Atlassian,annual renewal,3281063,6300 Software Subscriptions
AWS,annual renewal,531364,6400 Cloud Infrastructure
Gusto Payroll,services B-8601,3515143,6000 Payroll
DocuSign,usage charges,3889057,6300 Software Subscriptions
AWS,services B-6910,4571067,6400 Cloud Infrastructure
Deel Inc,services B-3304,3749798,6000 Payroll
Mercury Bank,,4353918,6510 Bank Fees
Airtable,,5992054,6300 Software Subscriptions
DocuSign,invoice B-3028,5834695,6300 Software Subscriptions
Segment,monthly subscription,5357595,6300 Software Subscriptions
Twilio,invoice B-2577,3147571,6420 Communications
Figma,invoice B-1804,3957274,6300 Software Subscriptions
Retool,invoice B-1473,2946056,6300 Software Subscriptions
AWS,auto-pay,4608084,6400 Cloud Infrastructure
OpenPhone,invoice B-6672,2612943,6420 Communications
Datadog,monthly subscription,2910382,6410 Monitoring & Tooling
WeWork,monthly subscription,1319505,6200 Rent & Facilities
Rippling,services B-3110,272328,6000 Payroll
Notion Labs,services B-9234,4562009,6300 Software Subscriptions
Gusto Payroll,services B-7847,5342998,6000 Payroll
Zoom Video,usage charges,952287,6300 Software Subscriptions
AWS,monthly subscription,5113384,6400 Cloud Infrastructure
Zoom Video,annual renewal,4677191,6300 Software Subscriptions
Amplitude,,593492,6300 Software Subscriptions
Zoom Video,monthly subscription,5976145,6300 Software Subscriptions
Airtable,,927528,6300 Software Subscriptions
Rippling,,4664411,6000 Payroll
Stripe Billing,annual renewal,1123099,6500 Payment Processing Fees
Snowflake,auto-pay,4643255,6400 Cloud Infrastructure
Amplitude,auto-pay,2014563,6300 Software Subscriptions
WeWork,annual renewal,826803,6200 Rent & Facilities
Notion Labs,invoice B-4466,948399,6300 Software Subscriptions
Notion Labs,,5488455,6300 Software Subscriptions
Gusto Payroll,auto-pay,338690,6000 Payroll
Rippling,auto-pay,5624932,6000 Payroll
Retool,annual renewal,3246167,6300 Software Subscriptions
Airtable,,1801015,6300 Software Subscriptions
Zoom Video,usage charges,688823,6300 Software Subscriptions
Mercury Bank,,5177885,6510 Bank Fees
Twilio,services B-1656,2973572,6420 Communications
Google Cloud,annual renewal,2516149,6400 Cloud Infrastructure
Twilio,auto-pay,4478336,6420 Communications
Airtable,invoice B-1674,4723054,6300 Software Subscriptions
Zoom Video,usage charges,2643640,6300 Software Subscriptions
Airtable,invoice B-3344,694835,6300 Software Subscriptions
OpenPhone,annual renewal,1019745,6420 Communications
Airtable,monthly subscription,3724862,6300 Software Subscriptions
Google Cloud,monthly subscription,147302,6400 Cloud Infrastructure
Zoom Video,monthly subscription,2731520,6300 Software Subscriptions
Atlassian,auto-pay,5531361,6300 Software Subscriptions
Twilio,invoice B-7654,2124444,6420 Communications
GitHub,usage charges,1312958,6410 Monitoring & Tooling
Linear,invoice B-3317,885155,6300 Software Subscriptions
Deel Inc,monthly subscription,2295174,6000 Payroll
Gusto Payroll,services B-6641,632623,6000 Payroll
Retool,usage charges,3664295,6300 Software Subscriptions
GitHub,annual renewal,2140053,6410 Monitoring & Tooling
Notion Labs,monthly subscription,5998115,6300 Software Subscriptions
GitHub,usage charges,1801307,6410 Monitoring & Tooling
Linear,services B-9633,3640700,6300 Software Subscriptions
LaunchDarkly,,826589,6300 Software Subscriptions
Gusto Payroll,monthly subscription,4394542,6000 Payroll
Stripe Billing,annual renewal,2696527,6500 Payment Processing Fees
Figma,auto-pay,4575115,6300 Software Subscriptions
Gusto Payroll,services B-7974,3918968,6000 Payroll
Google Cloud,,5522807,6400 Cloud Infrastructure
Segment,,2977746,6300 Software Subscriptions
WeWork,services B-8271,834725,6200 Rent & Facilities
Deel Inc,services B-5509,4301331,6000 Payroll
Segment,,4618977,6300 Software Subscriptions
Retool,auto-pay,249303,6300 Software Subscriptions
Zoom Video,invoice B-6235,1742350,6300 Software Subscriptions
LaunchDarkly,monthly subscription,2384825,6300 Software Subscriptions
Stripe Billing,invoice B-7508,2882422,6500 Payment Processing Fees
Zoom Video,,5878138,6300 Software Subscriptions
Snowflake,monthly subscription,4344012,6400 Cloud Infrastructure
Google Cloud,annual renewal,2469582,6400 Cloud Infrastructure
Snowflake,auto-pay,1907957,6400 Cloud Infrastructure
Airtable,invoice B-6991,3745988,6300 Software Subscriptions
OpenPhone,monthly subscription,4476780,6420 Communications
Atlassian,auto-pay,1690231,6300 Software Subscriptions
Airtable,services B-6942,3562552,6300 Software Subscriptions
Datadog,services B-6310,4458211,6410 Monitoring & Tooling
Airtable,auto-pay,1056120,6300 Software Subscriptions
Gusto Payroll,monthly subscription,286269,6000 Payroll
Stripe Billing,invoice B-5497,3899232,6500 Payment Processing Fees
Rippling,invoice B-1160,761749,6000 Payroll
Snowflake,annual renewal,1117011,6400 Cloud Infrastructure
Amplitude,auto-pay,3936066,6300 Software Subscriptions
Figma,auto-pay,4929197,6300 Software Subscriptions
Notion Labs,annual renewal,2921695,6300 Software Subscriptions
Stripe Billing,annual renewal,2143239,6500 Payment Processing Fees
Deel Inc,services B-3910,3297757,6000 Payroll
OpenPhone,monthly subscription,5070394,6420 Communications
OpenPhone,services B-9865,3028845,6420 Communications
Stripe Billing,services B-4601,5967216,6500 Payment Processing Fees
Google Cloud,services B-6504,3898833,6400 Cloud Infrastructure
Airtable,auto-pay,94778,6300 Software Subscriptions
Notion Labs,monthly subscription,2198050,6300 Software Subscriptions
Mercury Bank,,1735102,6510 Bank Fees
Google Cloud,monthly subscription,1219930,6400 Cloud Infrastructure
Google Cloud,services B-2437,522287,6400 Cloud Infrastructure
Snowflake,usage charges,4803294,6400 Cloud Infrastructure
Brex,usage charges,5066676,6510 Bank Fees
Zoom Video,monthly subscription,3685078,6300 Software Subscriptions
LaunchDarkly,monthly subscription,4056432,6300 Software Subscriptions
Atlassian,services B-1071,4719712,6300 Software Subscriptions
Google Cloud,services B-9448,77037,6400 Cloud Infrastructure
WeWork,annual renewal,2207245,6200 Rent & Facilities
Segment,services B-9954,2797319,6300 Software Subscriptions
Stripe Billing,annual renewal,4226610,6500 Payment Processing Fees
Mercury Bank,invoice B-7103,5802376,6510 Bank Fees
Amplitude,services B-5647,2485763,6300 Software Subscriptions
Mercury Bank,,2252602,6510 Bank Fees
Stripe Billing,monthly subscription,5684211,6500 Payment Processing Fees
Atlassian,auto-pay,277303,6300 Software Subscriptions
OpenPhone,invoice B-4518,6985,6420 Communications
Amplitude,,3106408,6300 Software Subscriptions
Stripe Billing,,2845092,6500 Payment Processing Fees
Rippling,,3640793,6000 Payroll
Airtable,,2298328,6300 Software Subscriptions
Atlassian,auto-pay,4533135,6300 Software Subscriptions
DocuSign,,1658326,6300 Software Subscriptions
Airtable,annual renewal,5046833,6300 Software Subscriptions
Amplitude,annual renewal,2500648,6300 Software Subscriptions
Gusto Payroll,services B-1979,3970211,6000 Payroll
Snowflake,monthly subscription,1340290,6400 Cloud Infrastructure
Rippling,services B-2736,5422583,6000 Payroll
