vendor,memo,amount_cents,account
Carta,usage charges,643286,6600 Professional Services
LaunchDarkly,invoice B-3442,3554883,6300 Software Subscriptions
Brex,monthly subscription,414173,6510 Bank Fees
Carta,services B-1739,3974098,6600 Professional Services
Zoom Video,annual renewal,3227483,6300 Software Subscriptions
Carta,auto-pay,5071566,6600 Professional Services
Snowflake,auto-pay,1867743,6400 Cloud Infrastructure
AWS,,4709617,6400 Cloud Infrastructure
Salesforce,annual renewal,3935240,6300 Software Subscriptions
Atlassian,auto-pay,5856720,6300 Software Subscriptions
AWS,usage charges,371603,6400 Cloud Infrastructure
Gusto Payroll,services B-8507,4358230,6000 Payroll
Segment,invoice B-8929,5598508,6300 Software Subscriptions
Mercury Bank,invoice B-2469,1264038,6510 Bank Fees
Linear,monthly subscription,5182401,6300 Software Subscriptions
Amplitude,annual renewal,1998856,6300 Software Subscriptions
LaunchDarkly,usage charges,726778,6300 Software Subscriptions
WeWork,auto-pay,2925090,6200 Rent & Facilities
Gusto Payroll,monthly subscription,4049380,6000 Payroll
WeWork,services B-1322,3873049,6200 Rent & Facilities
Atlassian,services B-6227,3987776,6300 Software Subscriptions
Stripe Billing,invoice B-9364,4677871,6500 Payment Processing Fees
Brex,usage charges,5836103,6510 Bank Fees
Retool,invoice B-4403,1991492,6300 Software Subscriptions
AWS,monthly subscription,3281255,6400 Cloud Infrastructure
Twilio,services B-7446,959541,6420 Communications
Linear,invoice B-4064,1251698,6300 Software Subscriptions
Twilio,usage charges,2840056,6420 Communications
Segment,annual renewal,12686,6300 Software Subscriptions
Atlassian,invoice B-1952,5481968,6300 Software Subscriptions
DocuSign,auto-pay,2453779,6300 Software Subscriptions
Twilio,invoice B-6502,1213953,6420 Communications
Deel Inc,usage charges,2398926,6000 Payroll
Vercel,,4324244,6400 Cloud Infrastructure
WeWork,auto-pay,760638,6200 Rent & Facilities
Airtable,usage charges,5214020,6300 Software Subscriptions
Gusto Payroll,annual renewal,2968627,6000 Payroll
Salesforce,,3761846,6300 Software Subscriptions
Twilio,usage charges,5774022,6420 Communications
Salesforce,auto-pay,4122001,6300 Software Subscriptions
Snowflake,invoice B-6434,5625080,6400 Cloud Infrastructure
Retool,services B-2480,1103297,6300 Software Subscriptions
Linear,services B-2992,2557481,6300 Software Subscriptions
Salesforce,invoice B-4855,3381429,6300 Software Subscriptions
Retool,monthly subscription,4891463,6300 Software Subscriptions
Salesforce,monthly subscription,4706028,6300 Software Subscriptions
Figma,usage charges,2982104,6300 Software Subscriptions
Vercel,services B-3236,5088811,6400 Cloud Infrastructure
Deel Inc,usage charges,2809788,6000 Payroll
Figma,usage charges,5966223,6300 Software Subscriptions
Segment,usage charges,1782299,6300 Software Subscriptions
Airtable,invoice B-9153,386885,6300 Software Subscriptions
Mercury Bank,auto-pay,5299380,6510 Bank Fees
Slack Technologies,services B-1310,1708726,6300 Software Subscriptions
Vercel,invoice B-8844,4612521,6400 Cloud Infrastructure
OpenPhone,annual renewal,75197,6420 Communications
AWS,usage charges,5387398,6400 Cloud Infrastructure
Segment,services B-9956,2884227,6300 Software Subscriptions
Linear,,5847984,6300 Software Subscriptions
Brex,services B-5880,2093993,6510 Bank Fees
Snowflake,auto-pay,5935278,6400 Cloud Infrastructure
Linear,,5854843,6300 Software Subscriptions
DocuSign,usage charges,5985956,6300 Software Subscriptions
Twilio,services B-3134,1973120,6420 Communications
Amplitude,auto-pay,4735182,6300 Software Subscriptions
Carta,services B-3444,1367549,6600 Professional Services
Amplitude,monthly subscription,5030233,6300 Software Subscriptions
Atlassian,usage charges,4230514,6300 Software Subscriptions
Snowflake,services B-2133,1954052,6400 Cloud Infrastructure
Salesforce,services B-5115,1543992,6300 Software Subscriptions
Rippling,usage charges,1962198,6000 Payroll
Atlassian,monthly subscription,4737045,6300 Software Subscriptions
Carta,,3398041,6600 Professional Services
Retool,usage charges,3670940,6300 Software Subscriptions
Snowflake,monthly subscription,3970802,6400 Cloud Infrastructure
Carta,invoice B-7227,3326676,6600 Professional Services
Zoom Video,annual renewal,537950,6300 Software Subscriptions
Figma,,5916277,6300 Software Subscriptions
Amplitude,monthly subscription,790248,6300 Software Subscriptions
Twilio,,2598396,6420 Communications
Amplitude,auto-pay,3871693,6300 Software Subscriptions
Gusto Payroll,auto-pay,5211872,6000 Payroll
Rippling,usage charges,3412021,6000 Payroll
AWS,monthly subscription,521336,6400 Cloud Infrastructure
Salesforce,monthly subscription,3364780,6300 Software Subscriptions
Salesforce,services B-1897,1069081,6300 Software Subscriptions
Gusto Payroll,,2909825,6000 Payroll
Gusto Payroll,annual renewal,2577572,6000 Payroll
WeWork,usage charges,4747451,6200 Rent & Facilities
Deel Inc,,2204778,6000 Payroll
Segment,monthly subscription,2482894,6300 Software Subscriptions
Vercel,usage charges,3865447,6400 Cloud Infrastructure
Linear,invoice B-3858,3627932,6300 Software Subscriptions
Carta,annual renewal,3808259,6600 Professional Services
Zoom Video,monthly subscription,3455005,6300 Software Subscriptions
AWS,,1825817,6400 Cloud Infrastructure
Vercel,,2867556,6400 Cloud Infrastructure
Stripe Billing,services B-9827,1488950,6500 Payment Processing Fees
Amplitude,,1904216,6300 Software Subscriptions
Retool,auto-pay,2522077,6300 Software Subscriptions
Vercel,usage charges,5686526,6400 Cloud Infrastructure
Salesforce,usage charges,239655,6300 Software Subscriptions
Rippling,usage charges,121089,6000 Payroll
Airtable,annual renewal,3229907,6300 Software Subscriptions
Rippling,auto-pay,2601473,6000 Payroll
Brex,annual renewal,1351236,6510 Bank Fees
Atlassian,monthly subscription,4360934,6300 Software Subscriptions
Brex,,642453,6510 Bank Fees
Carta,services B-5781,4611856,6600 Professional Services
Atlassian,annual renewal,4030103,6300 Software Subscriptions
Zoom Video,services B-3327,4243668,6300 Software Subscriptions
Carta,services B-8725,591467,6600 Professional Services
Linear,usage charges,177017,6300 Software Subscriptions
DocuSign,,2473863,6300 Software Subscriptions
Mercury Bank,auto-pay,1769665,6510 Bank Fees
Figma,usage charges,2650651,6300 Software Subscriptions
Rippling,usage charges,2722092,6000 Payroll
DocuSign,usage charges,5890206,6300 Software Subscriptions
Zoom Video,annual renewal,1413753,6300 Software Subscriptions
Amplitude,annual renewal,5089028,6300 Software Subscriptions
Brex,invoice B-1363,5789264,6510 Bank Fees
Brex,auto-pay,295356,6510 Bank Fees
Deel Inc,invoice B-5725,1114675,6000 Payroll
Salesforce,auto-pay,2088717,6300 Software Subscriptions
Airtable,invoice B-1869,4379378,6300 Software Subscriptions
Linear,auto-pay,4275567,6300 Software Subscriptions
Atlassian,monthly subscription,2552127,6300 Software Subscriptions
Snowflake,usage charges,4602475,6400 Cloud Infrastructure
OpenPhone,,5716530,6420 Communications
Gusto Payroll,auto-pay,156041,6000 Payroll
Zoom Video,services B-3371,2477376,6300 Software Subscriptions
WeWork,annual renewal,4810820,6200 Rent & Facilities
Deel Inc,annual renewal,2971359,6000 Payroll
Airtable,usage charges,3238030,6300 Software Subscriptions
Slack Technologies,annual renewal,5286942,6300 Software Subscriptions
Airtable,,5599644,6300 Software Subscriptions
Stripe Billing,monthly subscription,5635177,6500 Payment Processing Fees
Vercel,invoice B-8917,2616908,6400 Cloud Infrastructure
Snowflake,invoice B-6608,3729946,6400 Cloud Infrastructure
Zoom Video,monthly subscription,5399110,6300 Software Subscriptions
Carta,usage charges,5461509,6600 Professional Services
Linear,invoice B-9704,5360331,6300 Software Subscriptions
Brex,invoice B-6348,1661765,6510 Bank Fees
Zoom Video,usage charges,4260889,6300 Software Subscriptions
Mercury Bank,invoice B-6097,5349369,6510 Bank Fees
Atlassian,services B-8866,2780408,6300 Software Subscriptions
WeWork,auto-pay,4000333,6200 Rent & Facilities
LaunchDarkly,auto-pay,3935057,6300 Software Subscriptions
AWS,annual renewal,2727594,6400 Cloud Infrastructure
Snowflake,services B-3411,1833545,6400 Cloud Infrastructure
DocuSign,monthly subscription,4965971,6300 Software Subscriptions
Mercury Bank,invoice B-2800,3479562,6510 Bank Fees
Vercel,invoice B-1746,4570060,6400 Cloud Infrastructure
Vercel,invoice B-4577,2208010,6400 Cloud Infrastructure
Mercury Bank,services B-4443,3026583,6510 Bank Fees
Salesforce,,3278957,6300 Software Subscriptions
DocuSign,annual renewal,3561781,6300 Software Subscriptions
Vercel,annual renewal,5913079,6400 Cloud Infrastructure
Airtable,usage charges,4410943,6300 Software Subscriptions
Salesforce,invoice B-7543,4363235,6300 Software Subscriptions
Mercury Bank,monthly subscription,4387446,6510 Bank Fees
DocuSign,annual renewal,1786127,6300 Software Subscriptions
AWS,usage charges,2568911,6400 Cloud Infrastructure
Figma,services B-5845,648982,6300 Software Subscriptions
OpenPhone,monthly subscription,5796784,6420 Communications
Carta,auto-pay,1026080,6600 Professional Services
Amplitude,invoice B-1878,98393,6300 Software Subscriptions
Amplitude,usage charges,3178511,6300 Software Subscriptions
Slack Technologies,invoice B-8247,2193615,6300 Software Subscriptions
AWS,auto-pay,3783832,6400 Cloud Infrastructure
Segment,invoice B-7526,5846319,6300 Software Subscriptions
DocuSign,auto-pay,5691707,6300 Software Subscriptions
Retool,invoice B-7793,5367186,6300 Software Subscriptions
Vercel,,3516441,6400 Cloud Infrastructure
LaunchDarkly,invoice B-8895,2960710,6300 Software Subscriptions
Brex,monthly subscription,496706,6510 Bank Fees
WeWork,usage charges,1455120,6200 Rent & Facilities
Deel Inc,auto-pay,462066,6000 Payroll
AWS,auto-pay,975616,6400 Cloud Infrastructure
Salesforce,annual renewal,3916428,6300 Software Subscriptions
AWS,annual renewal,2374196,6400 Cloud Infrastructure
AWS,auto-pay,570246,6400 Cloud Infrastructure
Amplitude,monthly subscription,3069097,6300 Software Subscriptions
Salesforce,annual renewal,1091778,6300 Software Subscriptions
Linear,invoice B-5803,2715205,6300 Software Subscriptions
Snowflake,monthly subscription,5829607,6400 Cloud Infrastructure
Segment,monthly subscription,125812,6300 Software Subscriptions
WeWork,monthly subscription,1482446,6200 Rent & Facilities
Twilio,invoice B-7605,5161112,6420 Communications
Rippling,auto-pay,1974364,6000 Payroll
LaunchDarkly,annual renewal,3841976,6300 Software Subscriptions
DocuSign,annual renewal,5502292,6300 Software Subscriptions
Carta,auto-pay,921682,6600 Professional Services
Brex,auto-pay,5683532,6510 Bank Fees
Carta,invoice B-7816,5855203,6600 Professional Services
OpenPhone,,930539,6420 Communications
Carta,invoice B-6305,322383,6600 Professional Services
Deel Inc,usage charges,4672008,6000 Payroll
Gusto Payroll,monthly subscription,2901194,6000 Payroll
Airtable,,5878678,6300 Software Subscriptions
Slack Technologies,monthly subscription,3235666,6300 Software Subscriptions
Brex,monthly subscription,4334006,6510 Bank Fees
Slack Technologies,monthly subscription,1429289,6300 Software Subscriptions
Deel Inc,auto-pay,1817126,6000 Payroll
Deel Inc,invoice B-4093,5831289,6000 Payroll
Linear,services B-5824,5636534,6300 Software Subscriptions
Zoom Video,auto-pay,535179,6300 Software Subscriptions
Vercel,invoice B-6766,2608702,6400 Cloud Infrastructure
LaunchDarkly,invoice B-9287,3481370,6300 Software Subscriptions
Twilio,services B-5183,5370327,6420 Communications
Segment,usage charges,5374604,6300 Software Subscriptions
Gusto Payroll,usage charges,3506873,6000 Payroll
Salesforce,invoice B-1497,4270207,6300 Software Subscriptions
Gusto Payroll,auto-pay,1484146,6000 Payroll
Mercury Bank,auto-pay,1483351,6510 Bank Fees
Figma,usage charges,4409241,6300 Software Subscriptions
Amplitude,services B-8082,1338727,6300 Software Subscriptions
AWS,usage charges,3989922,6400 Cloud Infrastructure
Deel Inc,monthly subscription,227080,6000 Payroll
Carta,,2196824,6600 Professional Services
Twilio,,5779441,6420 Communications
Gusto Payroll,auto-pay,3348502,6000 Payroll
Retool,annual renewal,4858535,6300 Software Subscriptions
AWS,monthly subscription,750924,6400 Cloud Infrastructure
Vercel,monthly subscription,3002399,6400 Cloud Infrastructure
Segment,annual renewal,2385157,6300 Software Subscriptions
Figma,,2074247,6300 Software Subscriptions
WeWork,,4727450,6200 Rent & Facilities
Stripe Billing,usage charges,2276486,6500 Payment Processing Fees
Stripe Billing,usage charges,5371068,6500 Payment Processing Fees
Snowflake,monthly subscription,5462575,6400 Cloud Infrastructure
Slack Technologies,services B-3153,791038,6300 Software Subscriptions
Zoom Video,monthly subscription,5088161,6300 Software Subscriptions
Twilio,monthly subscription,5273188,6420 Communications
DocuSign,invoice B-3238,479894,6300 Software Subscriptions
Amplitude,usage charges,3952215,6300 Software Subscriptions
Twilio,,2782026,6420 Communications
Twilio,auto-pay,48619,6420 Communications
Deel Inc,services B-3987,2129046,6000 Payroll
Segment,,5628008,6300 Software Subscriptions
Brex,auto-pay,1261571,6510 Bank Fees
Amplitude,usage charges,2084017,6300 Software Subscriptions
Salesforce,services B-6437,4716719,6300 Software Subscriptions
Mercury Bank,usage charges,5752291,6510 Bank Fees
Snowflake,auto-pay,4289119,6400 Cloud Infrastructure
Figma,services B-2875,3854891,6300 Software Subscriptions
Airtable,auto-pay,3219727,6300 Software Subscriptions
DocuSign,invoice B-6394,5516059,6300 Software Subscriptions
Segment,,5029622,6300 Software Subscriptions
Amplitude,annual renewal,3225838,6300 Software Subscriptions
Stripe Billing,,1991908,6500 Payment Processing Fees
Stripe Billing,monthly subscription,53520,6500 Payment Processing Fees
Gusto Payroll,services B-2763,1801741,6000 Payroll
Deel Inc,invoice B-9466,1635086,6000 Payroll
Airtable,auto-pay,2103400,6300 Software Subscriptions
Brex,monthly subscription,4282861,6510 Bank Fees
WeWork,services B-2285,347699,6200 Rent & Facilities
Figma,services B-2790,4986108,6300 Software Subscriptions
Airtable,annual renewal,5080276,6300 Software Subscriptions
Snowflake,,773002,6400 Cloud Infrastructure
Retool,annual renewal,334837,6300 Software Subscriptions
Brex,usage charges,110774,6510 Bank Fees
Amplitude,invoice B-1616,5982816,6300 Software Subscriptions
Figma,services B-6090,4555685,6300 Software Subscriptions
Rippling,annual renewal,5213944,6000 Payroll
WeWork,monthly subscription,353247,6200 Rent & Facilities
Deel Inc,,3427627,6000 Payroll
AWS,,4989629,6400 Cloud Infrastructure
Airtable,annual renewal,1946824,6300 Software Subscriptions
Carta,invoice B-5753,2287183,6600 Professional Services
Mercury Bank,monthly subscription,4665724,6510 Bank Fees
Snowflake,usage charges,2164433,6400 Cloud Infrastructure
Stripe Billing,auto-pay,4467222,6500 Payment Processing Fees
Atlassian,monthly subscription,5570461,6300 Software Subscriptions
OpenPhone,services B-7933,1962505,6420 Communications
OpenPhone,services B-7981,5965631,6420 Communications
Twilio,usage charges,3725512,6420 Communications
Linear,,2747331,6300 Software Subscriptions
Rippling,services B-5855,4951137,6000 Payroll
Segment,usage charges,1260603,6300 Software Subscriptions
AWS,usage charges,3432304,6400 Cloud Infrastructure
AWS,usage charges,1316962,6400 Cloud Infrastructure
Twilio,annual renewal,5859450,6420 Communications
Snowflake,annual renewal,3102150,6400 Cloud Infrastructure
Twilio,usage charges,3448238,6420 Communications
Rippling,services B-6851,5151680,6000 Payroll
Twilio,auto-pay,3550111,6420 Communications
OpenPhone,annual renewal,4339258,6420 Communications
Mercury Bank,monthly subscription,3429844,6510 Bank Fees
Snowflake,annual renewal,3941133,6400 Cloud Infrastructure
Salesforce,invoice B-2235,857245,6300 Software Subscriptions
AWS,invoice B-8982,3247797,6400 Cloud Infrastructure
Slack Technologies,auto-pay,1847303,6300 Software Subscriptions
Salesforce,services B-9547,61394,6300 Software Subscriptions
Twilio,,2678960,6420 Communications
Figma,invoice B-6739,4690042,6300 Software Subscriptions
Carta,,1986678,6600 Professional Services
Zoom Video,,319209,6300 Software Subscriptions
Airtable,invoice B-9077,73858,6300 Software Subscriptions
OpenPhone,annual renewal,5664902,6420 Communications
Vercel,services B-8842,4616101,6400 Cloud Infrastructure
LaunchDarkly,auto-pay,3401776,6300 Software Subscriptions
Twilio,auto-pay,1400557,6420 Communications
Brex,monthly subscription,405178,6510 Bank Fees
AWS,annual renewal,366991,6400 Cloud Infrastructure
Retool,usage charges,3102936,6300 Software Subscriptions
